couldn't open "transcript": permission denied
# Reading pref.tcl
# //  Questa Sim-64
# //  Version 2023.3 win64 Jul 17 2023
# //
# //  Copyright 1991-2023 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
cd {N:\My Documents\Terms\2.Spring 2024\Pre-Silicon\Team09_Async_FIFO_M4}
do run.do
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 19:59:28 on May 29,2024
# vlog -reportprogress 300 -lint design_a.sv 
# -- Compiling module FIFO
# -- Compiling module fifomem
# -- Compiling module sync_r2w
# -- Compiling module sync_w2r
# -- Compiling module rptr_empty
# ** Warning: design_a.sv(141): (vlog-2623) Undefined variable: rEmpty_val.
# -- Compiling module wptr_full
# ** Warning: design_a.sv(182): (vlog-2623) Undefined variable: wFull_val.
# 
# Top level modules:
# 	FIFO
# End time: 19:59:29 on May 29,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 2
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 19:59:29 on May 29,2024
# vlog -reportprogress 300 -lint uvm_fifo_interface.sv 
# -- Compiling interface uvm_fifo_intf
# 
# Top level modules:
# 	--none--
# End time: 19:59:29 on May 29,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 19:59:29 on May 29,2024
# vlog -reportprogress 300 -lint uvm_wr_packet.sv 
# ** Note: (vlog-2286) uvm_wr_packet.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_wr_packet_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# 
# Top level modules:
# 	--none--
# End time: 19:59:30 on May 29,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 19:59:30 on May 29,2024
# vlog -reportprogress 300 -lint uvm_wr_sequence.sv 
# ** Note: (vlog-2286) uvm_wr_sequence.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_wr_sequence_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# 
# Top level modules:
# 	--none--
# End time: 19:59:31 on May 29,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 19:59:31 on May 29,2024
# vlog -reportprogress 300 -lint uvm_wr_sequencer.sv 
# ** Note: (vlog-2286) uvm_wr_sequencer.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_wr_sequencer_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# 
# Top level modules:
# 	--none--
# End time: 19:59:32 on May 29,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 19:59:32 on May 29,2024
# vlog -reportprogress 300 -lint uvm_wr_driver.sv 
# ** Note: (vlog-2286) uvm_wr_driver.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_wr_driver_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Compiling interface uvm_fifo_intf
# 
# Top level modules:
# 	--none--
# End time: 19:59:32 on May 29,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 19:59:32 on May 29,2024
# vlog -reportprogress 300 -lint uvm_write_monitor.sv 
# ** Note: (vlog-2286) uvm_write_monitor.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_write_monitor_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Compiling interface uvm_fifo_intf
# 
# Top level modules:
# 	--none--
# End time: 19:59:33 on May 29,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 19:59:33 on May 29,2024
# vlog -reportprogress 300 -lint uvm_write_agent.sv 
# ** Note: (vlog-2286) uvm_write_agent.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_write_agent_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Compiling interface uvm_fifo_intf
# 
# Top level modules:
# 	--none--
# End time: 19:59:34 on May 29,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 19:59:34 on May 29,2024
# vlog -reportprogress 300 -lint uvm_rd_packet.sv 
# ** Note: (vlog-2286) uvm_rd_packet.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_rd_packet_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# 
# Top level modules:
# 	--none--
# End time: 19:59:35 on May 29,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 19:59:35 on May 29,2024
# vlog -reportprogress 300 -lint uvm_rd_sequence.sv 
# ** Note: (vlog-2286) uvm_rd_sequence.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_rd_sequence_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# 
# Top level modules:
# 	--none--
# End time: 19:59:36 on May 29,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 19:59:36 on May 29,2024
# vlog -reportprogress 300 -lint uvm_rd_sequencer.sv 
# ** Note: (vlog-2286) uvm_rd_sequencer.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_rd_sequencer_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# 
# Top level modules:
# 	--none--
# End time: 19:59:37 on May 29,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 19:59:37 on May 29,2024
# vlog -reportprogress 300 -lint uvm_rd_driver.sv 
# ** Note: (vlog-2286) uvm_rd_driver.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_rd_driver_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Compiling interface uvm_fifo_intf
# 
# Top level modules:
# 	--none--
# End time: 19:59:38 on May 29,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 19:59:38 on May 29,2024
# vlog -reportprogress 300 -lint uvm_rd_monitor.sv 
# ** Note: (vlog-2286) uvm_rd_monitor.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_rd_monitor_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Compiling interface uvm_fifo_intf
