do run.do
# ** Warning: (vlib-34) Library already exists at "test1".
# Errors: 0, Warnings: 1
# QuestaSim-64 vmap 2023.3 Lib Mapping Utility 2023.07 Jul 17 2023
# vmap work test1 
# Modifying modelsim.ini
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 00:11:49 on Jun 05,2024
# vlog -reportprogress 300 -lint -work test1 -coveropt 3 "+cover" "+acc" design_a.sv 
# -- Compiling module FIFO
# -- Compiling module fifomem
# -- Compiling module sync_r2w
# -- Compiling module sync_w2r
# -- Compiling module rptr_empty
# -- Compiling module wptr_full
# 
# Top level modules:
# 	FIFO
# End time: 00:11:50 on Jun 05,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 00:11:50 on Jun 05,2024
# vlog -reportprogress 300 -lint uvm_fifo_interface.sv 
# -- Compiling interface uvm_fifo_intf
# 
# Top level modules:
# 	--none--
# End time: 00:11:50 on Jun 05,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 00:11:50 on Jun 05,2024
# vlog -reportprogress 300 -lint uvm_wr_packet.sv 
# ** Note: (vlog-2286) uvm_wr_packet.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_wr_packet_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# 
# Top level modules:
# 	--none--
# End time: 00:11:51 on Jun 05,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 00:11:51 on Jun 05,2024
# vlog -reportprogress 300 -lint uvm_wr_sequence.sv 
# ** Note: (vlog-2286) uvm_wr_sequence.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_wr_sequence_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# 
# Top level modules:
# 	--none--
# End time: 00:11:52 on Jun 05,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 00:11:52 on Jun 05,2024
# vlog -reportprogress 300 -lint uvm_wr_sequencer.sv 
# ** Note: (vlog-2286) uvm_wr_sequencer.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_wr_sequencer_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# 
# Top level modules:
# 	--none--
# End time: 00:11:53 on Jun 05,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 00:11:53 on Jun 05,2024
# vlog -reportprogress 300 -lint uvm_wr_driver.sv 
# ** Note: (vlog-2286) uvm_wr_driver.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_wr_driver_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Compiling interface uvm_fifo_intf
# 
# Top level modules:
# 	--none--
# End time: 00:11:54 on Jun 05,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 00:11:54 on Jun 05,2024
# vlog -reportprogress 300 -lint uvm_write_monitor.sv 
# ** Note: (vlog-2286) uvm_write_monitor.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_write_monitor_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Compiling interface uvm_fifo_intf
# 
# Top level modules:
# 	--none--
# End time: 00:11:55 on Jun 05,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 00:11:55 on Jun 05,2024
# vlog -reportprogress 300 -lint uvm_write_agent.sv 
# ** Note: (vlog-2286) uvm_write_agent.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_write_agent_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Compiling interface uvm_fifo_intf
# 
# Top level modules:
# 	--none--
# End time: 00:11:56 on Jun 05,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 00:11:56 on Jun 05,2024
# vlog -reportprogress 300 -lint uvm_rd_packet.sv 
# ** Note: (vlog-2286) uvm_rd_packet.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_rd_packet_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# 
# Top level modules:
# 	--none--
# End time: 00:11:57 on Jun 05,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 00:11:57 on Jun 05,2024
# vlog -reportprogress 300 -lint uvm_rd_sequence.sv 
# ** Note: (vlog-2286) uvm_rd_sequence.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_rd_sequence_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# 
# Top level modules:
# 	--none--
# End time: 00:11:58 on Jun 05,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 00:11:58 on Jun 05,2024
# vlog -reportprogress 300 -lint uvm_rd_sequencer.sv 
# ** Note: (vlog-2286) uvm_rd_sequencer.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_rd_sequencer_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# 
# Top level modules:
# 	--none--
# End time: 00:11:59 on Jun 05,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 00:11:59 on Jun 05,2024
# vlog -reportprogress 300 -lint uvm_rd_driver.sv 
# ** Note: (vlog-2286) uvm_rd_driver.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_rd_driver_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Compiling interface uvm_fifo_intf
# 
# Top level modules:
# 	--none--
# End time: 00:12:00 on Jun 05,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 00:12:00 on Jun 05,2024
# vlog -reportprogress 300 -lint uvm_rd_monitor.sv 
# ** Note: (vlog-2286) uvm_rd_monitor.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_rd_monitor_sv_unit
